tow; prn9; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); resp; resc 
150308.679; 3; 15720.9082031; 190694.376953125; -1207.01171875; -1201.33; -5.68187; 0; 0; -0; -0; 0; -1128.02; -842.35; -78.9948; -73.3129; -2.65541e+07; 0
150309.679; 3; 15949.9189453; 191901.845703125; -1207.46875; -1203.46; -4.00918; 0; 0; -0; -0; 0; -1128.47; -842.689; -78.9978; -74.9886; -2.65538e+07; 0
150310.679; 3; 16181.2451172; 193109.7998046875; -1207.9541015625; -1215.63; 7.67314; 0; 0; -0; -0; 0; -1128.92; -843.028; -79.0291; -86.7023; -2.65536e+07; 0
150311.679; 3; 16406.1152344; 194317.955078125; -1208.1552734375; -1181.7; -26.4548; 0; 0; -0; -0; 0; -1129.38; -843.367; -78.7763; -52.3215; -2.65534e+07; 0
150312.679; 3; 16637.9648438; 195526.654296875; -1208.69921875; -1218.38; 9.6787; 0; 0; -0; -0; 0; -1129.83; -843.706; -78.8662; -88.5449; -2.65532e+07; 0
150313.679; 3; 16865.5625; 196735.6455078125; -1208.9912109375; -1196.03; -12.9575; 0; 0; -0; -0; 0; -1130.29; -844.045; -78.7043; -65.7468; -2.6553e+07; 0
150314.679; 3; 17095.3193359; 197945.205078125; -1209.5595703125; -1207.38; -2.17925; 0; 0; -0; -0; 0; -1130.74; -844.384; -78.8186; -76.6394; -2.65528e+07; 0
150315.679; 3; 17324.8955078; 199155.1533203125; -1209.9482421875; -1206.43; -3.51732; 0; 0; -0; -0; 0; -1131.19; -844.723; -78.7534; -75.2361; -2.65526e+07; 0
150316.679; 3; 17556.4042969; 200365.916015625; -1210.7626953125; -1216.59; 5.8242; 0; 0; -0; -0; 0; -1131.65; -845.062; -79.1139; -84.9381; -2.65523e+07; 0
150317.679; 3; 17789.6669922; 201576.919921875; -1211.00390625; -1225.8; 14.7998; 0; 0; -0; -0; 0; -1132.1; -845.401; -78.9012; -93.701; -2.65521e+07; 0
150318.679; 3; 18020.8300781; 202788.275390625; -1211.35546875; -1214.77; 3.41475; 0; 0; -0; -0; 0; -1132.56; -845.74; -78.7988; -82.2136; -2.65519e+07; 0
150319.679; 3; 18248.8896484; 204000.142578125; -1211.8671875; -1198.46; -13.4061; 0; 0; -0; -0; 0; -1133.01; -846.079; -78.8566; -65.4506; -5.2074e-08; 0
150320.679; 3; 18483.8203125; 205213.09765625; -1212.955078125; -1234.57; 21.6139; 0; 0; -0; -0; 0; -1133.46; -846.418; -79.4906; -101.105; 7.74526e-08; 0
150321.679; 3; 18716.5273438; 206426.37109375; -1213.2734375; -1222.88; 9.61027; 0; 0; -0; -0; 0; -1133.92; -846.757; -79.3551; -88.9654; -7.41347e-08; 0
150322.679; 3; 18948.0908203; 207639.875; -1213.50390625; -1216.87; 3.37038; 0; 0; -0; -0; 0; -1134.37; -847.096; -79.1318; -82.5021; 5.85531e-06; 0
150323.679; 3; 19178.4658203; 208852.9482421875; -1213.0732421875; -1210.63; -2.44445; 0; 0; -0; -0; 0; -1134.83; -847.435; -78.2472; -75.8028; 1.68924e-06; 0
150324.679; 3; 19409.3271484; 210066.857421875; -1213.9091796875; -1213.18; -0.724712; 0; 0; -0; -0; 0; -1135.28; -847.774; -78.6294; -77.9046; -3.60516e-07; 0
150325.679; 3; 19639.3789062; 211281.5361328125; -1214.6787109375; -1208.93; -5.74856; 0; 0; -0; -0; 0; -1135.73; -848.113; -78.945; -73.1965; 1.26004; 0.00207468
150326.679; 3; 19872.0361328; 212496.7041015625; -1215.16796875; -1222.62; 7.45401; 0; 0; -0; -0; 0; -1136.19; -848.452; -78.9805; -86.4345; 1.04607; -0.436998
150327.679; 3; 20102.9658203; 213712.0703125; -1215.3662109375; -1213.54; -1.82251; 0; 0; -0; -0; 0; -1136.64; -848.791; -78.725; -76.9025; 0.484058; -0.241067
150328.679; 3; 20336.2158203; 214928.1982421875; -1216.1279296875; -1225.74; 9.60909; 0; 0; -0; -0; 0; -1137.1; -849.129; -79.0329; -88.642; 1.78296; -0.475967
150329.679; 3; 20566.4111328; 216144.9111328125; -1216.712890625; -1209.68; -7.02836; 0; 0; -0; -0; 0; -1137.55; -849.468; -79.1641; -72.1358; 1.30416; 0.450452
150330.679; 3; 20797.5517578; 217361.740234375; -1216.8291015625; -1214.65; -2.17692; 0; 0; -0; -0; 0; -1138; -849.807; -78.8266; -76.6497; 0.824946; 0.338532
150331.679; 3; 21027.9824219; 218579.2451171875; -1217.5048828125; -1210.92; -6.58357; 0; 0; -0; -0; 0; -1138.46; -850.146; -79.0486; -72.4651; 0.0885398; 0.659894
150332.679; 3; 21260.3369141; 219796.953125; -1217.7080078125; -1221.03; 3.32309; 0; 0; -0; -0; 0; -1138.91; -850.485; -78.7981; -82.1211; 0.52013; 0.376014
150333.679; 3; 21496.0419922; 221015.8720703125; -1218.9189453125; -1238.64; 19.7196; 0; 0; -0; -0; 0; -1139.36; -850.823; -79.5553; -99.2749; 3.57266; -0.125558
150334.679; 3; 21725.7929688; 222235.0263671875; -1219.154296875; -1207.35; -11.8048; 0; 0; -0; -0; 0; -1139.82; -851.162; -79.337; -67.5322; 1.76387; 0.232183
150335.679; 3; 21958.6171875; 223454.40625; -1219.3798828125; -1223.5; 4.11964; 0; 0; -0; -0; 0; -1140.27; -851.501; -79.1089; -83.2285; 3.13298; 0.830102
150336.679; 3; 22192.8525391; 224674.1318359375; -1219.7255859375; -1230.92; 11.1895; 0; 0; -0; -0; 0; -1140.72; -851.84; -79.0009; -90.1904; 4.1726; -0.0818315
150337.679; 3; 22424.3759766; 225894.4013671875; -1220.26953125; -1216.66; -3.60566; 0; 0; -0; -0; 0; -1141.18; -852.179; -79.0912; -75.4856; 3.45868; -0.0416842
150338.679; 3; 22654.6855469; 227115.08203125; -1220.6806640625; -1210.28; -10.3957; 0; 0; -0; -0; 0; -1141.63; -852.517; -79.0487; -68.653; 1.3909; -0.139014
150339.679; 3; 22889.421875; 228336.4794921875; -1221.3974609375; -1233.55; 12.1503; 0; 0; -0; -0; 0; -1142.09; -852.856; -79.3119; -91.4622; 3.23284; -0.478198
150340.679; 3; 23119.8476562; 229558.4736328125; -1221.994140625; -1210.9; -11.0985; 0; 0; -0; -0; 0; -1142.54; -853.195; -79.455; -68.3565; 1.56887; -0.0531371
150341.679; 3; 23353.5253906; 230781.1171875; -1222.6435546875; -1227.98; 5.34123; 0; 0; -0; -0; 0; -1142.99; -853.534; -79.6508; -84.992; 2.53048; -0.0521768
150342.679; 3; 23587.0800781; 232004.1650390625; -1223.0478515625; -1227.34; 4.29032; 0; 0; -0; -0; 0; -1143.45; -853.872; -79.6015; -83.8919; 2.87868; -0.401652
150343.679; 3; 23818.28125; 233227.1787109375; -1223.013671875; -1214.97; -8.04331; 0; 0; -0; -0; 0; -1143.9; -854.211; -79.1138; -71.0705; 0.239107; -1.02107
150344.679; 3; 24053.7304688; 234450.8173828125; -1223.638671875; -1237.29; 13.6553; 0; 0; -0; -0; 0; -1144.35; -854.55; -79.2853; -92.9406; 2.08863; -1.35827
