tow; prn12; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); resp; resc 
518563.654; 24; 1301313.59082; 355515.8291015625; -2741.2890625; -2741.76; 0.474375; 0; 0; -0; -0; 0; -2599.2; -1940.96; -142.09; -142.565; 1.33621; 0.00863341
518564.654; 24; 1301834.5957; 358258.0654296875; -2742.236328125; -2737.9; -4.33719; 0; 0; -0; -0; 0; -2599.64; -1941.29; -142.594; -138.257; 0.584778; 0.075816
518565.654; 24; 1302356.3584; 361001.4482421875; -2743.3828125; -2741.88; -1.50134; 0; 0; -0; -0; 0; -2600.09; -1941.62; -143.298; -141.796; 0.473327; 0.241414
518566.654; 24; 1302879.88574; 363745.4072265625; -2743.958984375; -2751.15; 7.19578; 0; 0; -0; -0; 0; -2600.53; -1941.95; -143.431; -150.626; 1.98151; 0.373422
518567.654; 24; 1303401.41992; 366490.388671875; -2744.9814453125; -2740.68; -4.30083; 0; 0; -0; -0; 0; -2600.97; -1942.28; -144.01; -139.709; 0.635542; -0.152117
518568.654; 24; 1303924.47168; 369235.408203125; -2745.01953125; -2748.66; 3.63601; 0; 0; -0; -0; 0; -2601.41; -1942.61; -143.605; -147.241; 1.55642; 0.0741312
518569.654; 24; 1304446.22852; 371980.5517578125; -2745.1435546875; -2741.85; -3.29288; 0; 0; -0; -0; 0; -2601.86; -1942.95; -143.286; -139.993; 0.980685; 0.122883
518570.654; 24; 1304968.9375; 374726.076171875; -2745.5244140625; -2746.85; 1.32984; 0; 0; -0; -0; 0; -2602.3; -1943.28; -143.224; -144.554; 1.19343; 0.0805899
518571.654; 24; 1305491.86133; 377471.935546875; -2745.859375; -2747.98; 2.12389; 0; 0; -0; -0; 0; -2602.74; -1943.61; -143.117; -145.24; 1.72894; 0.20951
518572.654; 24; 1306014.03613; 380218.3779296875; -2746.4423828125; -2744.05; -2.39526; 0; 0; -0; -0; 0; -2603.19; -1943.94; -143.257; -140.862; 1.0957; 0.0369545
518573.654; 24; 1306536.6123; 382965.1953125; -2746.8173828125; -2746.16; -0.661065; 0; 0; -0; -0; 0; -2603.63; -1944.27; -143.189; -142.528; 1.01365; 0.0735967
518574.654; 24; 1307059.55859; 385712.4599609375; -2747.2646484375; -2748.1; 0.836649; 0; 0; -0; -0; 0; -2604.07; -1944.6; -143.194; -144.031; 0.994644; -0.107478
518575.654; 24; 1307582.72168; 388460.9296875; -2748.4697265625; -2749.24; 0.770846; 0; 0; -0; -0; 0; -2604.51; -1944.93; -143.956; -144.727; 1.34717; 0.0958045
