time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]
604776.931957; 0.375666; 0.140332; 2.20164; 3.96422; -0.262156
604777.931956; 0.379347; 0.142086; 2.20154; -1.79645; 0.279071
604778.931956; 0.422573; 0.162801; 2.20144; 3.42199; -0.139986
604779.931956; 0.433814; 0.174003; 2.20134; -2.60959; -0.0703193
604780.931956; 0.438124; 0.176575; 2.20124; -1.37495; -0.0392601
604781.931955; 0.399742; 0.16216; 2.20114; -2.72697; 0.371415
604782.931955; 0.379107; 0.141041; 2.20104; -2.14318; 0.482475
604783.931955; 0.434322; 0.173294; 2.20094; 4.02635; -0.0715655
604784.931955; 0.423161; 0.161936; 2.20084; 3.45061; -0.363253
604785.931955; 0.395044; 0.152265; 2.20074; -2.9639; 0.222943
604786.931954; 0.433667; 0.182044; 2.20064; 4.13352; 0.130021
604787.931954; 0.400387; 0.173192; 2.20054; 3.40531; 0.277545
604788.931954; 0.396477; 0.172088; 2.20044; 2.42212; -0.340706
604789.931954; 0.39465; 0.168259; 2.20034; 1.16502; -0.0704868
604790.931953; 0.420138; 0.179111; 2.20024; -4.33963; 0.408278
604791.931953; 0.429764; 0.196888; 2.20014; 4.63641; -0.661832
604792.931953; 0.420131; 0.183385; 2.20004; -4.93619; 0.451847
604793.931953; 0.401462; 0.168796; 2.19994; 2.80241; 0.347284
604794.931952; 0.373196; 0.155357; 2.19984; -2.64737; 0.986334
604795.931952; 0.354078; 0.149456; 2.19974; 2.77849; -0.286183
604796.931952; 0.353382; 0.146298; 2.19964; 1.77913; -0.373597
604797.931952; 0.341054; 0.148645; 2.19954; 3.71486; 0.727108
604798.931952; 0.292697; 0.131485; 2.19944; -4.36297; 0.453917
604799.931951; 0.319492; 0.152802; 2.19933; -4.65445; -0.0165254
