tow; prn2; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph) 
518413.826; 6; -268697.787109; -523.6279296875; 37.2981771064911; 35.581; 1.71721; 0; 0; -0; -0; 0; 37.2516; 27.8178
518413.976; 6; -268698.541992; -529.2109375; 37.2200521064426; 26.4462; 10.7738; 0; 0; -0; -0; 0; 37.1492; 27.7413
518414.126; 6; -268699.438477; -534.77734375; 37.1093749654392; 31.407; 5.70233; 0; 0; -0; -0; 0; 37.0468; 27.6648
518414.276; 6; -268700.464844; -540.3271484375; 36.9986979396385; 35.9573; 1.04139; 0; 0; -0; -0; 0; 36.9444; 27.5884
518414.426; 6; -268701.384766; -545.8623046875; 36.9010416322999; 32.2281; 4.67289; 0; 0; -0; -0; 0; 36.8421; 27.512
518414.576; 6; -268702.495117; -551.380859375; 36.7903646061758; 38.8996; -2.10921; 0; 0; -0; -0; 0; 36.7397; 27.4355
518414.726; 6; -268703.530273; -556.88671875; 36.7057291894566; 36.2652; 0.44051; 0; 0; -0; -0; 0; 36.6373; 27.3591
518414.876; 6; -268704.401367; -562.3740234375; 36.5820312159303; 30.5175; 6.06451; 0; 0; -0; -0; 0; 36.535; 27.2826
518415.026; 6; -268705.455078; -567.8505859375; 36.5104166893353; 36.9153; -0.404839; 0; 0; -0; -0; 0; 36.4326; 27.2062
518415.176; 6; -268706.560547; -573.3076171875; 36.3802082994516; 38.7285; -2.34831; 0; 0; -0; -0; 0; 36.3303; 27.1298
518415.326; 6; -268707.657227; -578.7509765625; 36.2890625225312; 38.4206; -2.13154; 0; 0; -0; -0; 0; 36.2279; 27.0533
518415.476; 6; -268708.774414; -584.17578125; 36.1653646057877; 39.1391; -2.9737; 0; 0; -0; -0; 0; 36.1255; 26.9768
518415.626; 6; -268709.880859; -589.58984375; 36.0937499663851; 38.7627; -2.66898; 0; 0; -0; -0; 0; 36.0232; 26.9004
518415.776; 6; -268711.006836; -594.986328125; 35.9765625223372; 39.447; -3.47042; 0; 0; -0; -0; 0; 35.9208; 26.824
518415.926; 6; -268712.083008; -600.369140625; 35.8854166332458; 37.7021; -1.81673; 0; 0; -0; -0; 0; 35.8185; 26.7476
518416.076; 6; -268713.139648; -605.7333984375; 35.7617187722038; 37.0179; -1.25617; 0; 0; -0; -0; 0; 35.7161; 26.6711
518416.226; 6; -268714.333008; -611.0869140625; 35.690104188826; 41.8076; -6.11753; 0; 0; -0; -0; 0; 35.6137; 26.5947
518416.376; 6; -268715.382812; -616.4228515625; 35.5729166335368; 36.7784; -1.20549; 0; 0; -0; -0; 0; 35.5114; 26.5183
518416.526; 6; -268716.476562; -621.7412109375; 35.4557291886805; 38.318; -2.86224; 0; 0; -0; -0; 0; 35.409; 26.4418
