time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]
518422.002001; 0.530671; 0.0250539; 2.7386; 0.981411; 0.0387153
518422.152001; 0.528185; 0.0267234; 2.73865; 0.677776; 0.0354979
518422.302001; 0.525833; 0.0288595; 2.73869; 0.68584; 0.0317705
518422.452001; 0.523734; 0.03123; 2.73873; 0.753217; 0.031574
518422.602001; 0.51687; 0.0346693; 2.73878; 1.26848; -0.0130451
518422.752001; 0.506734; 0.0397799; 2.73882; 1.75343; -0.0468467
518422.902001; 0.504683; 0.043632; 2.73887; 0.725317; -0.0139459
518423.052001; 0.503179; 0.0478994; 2.73891; 0.653296; 0.0348607
518423.202001; 0.505658; 0.050471; 2.73895; -0.386911; 0.037521
518423.352001; 0.503305; 0.0539269; 2.739; 0.768182; -0.0247757
518423.502001; 0.499744; 0.0556279; 2.73904; 0.671675; -0.0363526
518423.652001; 0.495416; 0.0555158; 2.73909; 0.418501; -0.0449057
518423.802001; 0.487656; 0.0555432; 2.73913; 0.677935; -0.0561147
518423.952001; 0.486275; 0.0545539; 2.73917; 0.221128; -0.0363323
518424.102001; 0.484646; 0.0538709; 2.73922; 0.214085; 0.0129046
518424.252001; 0.484083; 0.0532905; 2.73926; -0.20747; 0.0239852
518424.402001; 0.483948; 0.0526936; 2.73931; -0.206303; 0.0223453
518424.552001; 0.482598; 0.0523145; 2.73935; 0.153954; 0.0133255
518424.702001; 0.481062; 0.0511645; 2.7394; 0.290883; 0.0169649
518424.852001; 0.473123; 0.0517511; 2.73944; 0.793505; -0.0523423
518425.002001; 0.466291; 0.0514842; 2.73948; 0.663836; -0.0587308
518425.152001; 0.462188; 0.0502175; 2.73953; 0.355989; -0.0340059
518425.302001; 0.454366; 0.0495366; 2.73957; 0.665613; -0.0496447
518425.452001; 0.44373; 0.0485001; 2.73961; 0.888103; -0.0881236
518425.602001; 0.434267; 0.0463089; 2.73966; 0.645394; -0.074543
518425.752001; 0.426519; 0.0425808; 2.7397; 0.791809; -0.0699235
518425.902001; 0.414284; 0.039933; 2.73975; 0.871693; -0.088063
518426.052001; 0.403501; 0.037202; 2.73979; 0.944451; -0.0737523
518426.202001; 0.391686; 0.0361807; 2.73984; 0.961944; -0.0823675
518426.352001; 0.382861; 0.0357334; 2.73988; 0.670299; -0.0496852
518426.502001; 0.375489; 0.0350818; 2.73992; 0.666087; -0.0507013
518426.652001; 0.370092; 0.0334715; 2.73997; 0.514293; -0.0523011
518426.802001; 0.367457; 0.0316263; 2.74001; 0.33084; -0.0322277
518426.952001; 0.364108; 0.0301113; 2.74006; 0.305052; -0.0316482
518427.102001; 0.363994; 0.0289306; 2.7401; -0.460823; 0.01707
518427.252001; 0.36358; 0.0288581; 2.74014; -0.108823; 0.0172214
518427.402001; 0.367833; 0.0284523; 2.74019; -0.660455; 0.08188
518427.552001; 0.370825; 0.028888; 2.74023; -0.34284; 0.0631948
518427.702001; 0.373489; 0.0287121; 2.74028; -0.308171; 0.0683743
518427.852001; 0.37497; 0.0287906; 2.74032; -0.291748; 0.0646379
518428.002001; 0.374761; 0.0284682; 2.74036; -0.224844; 0.0469931
518428.152001; 0.372537; 0.0283784; 2.74041; -0.255315; 0.0345762
518428.302001; 0.36997; 0.0281557; 2.74045; 0.282622; -0.0172737
518428.452001; 0.367548; 0.0276423; 2.7405; 0.158456; -0.0244898
518428.602001; 0.364109; 0.0275136; 2.74054; 0.370911; -0.0600968
518428.752001; 0.363258; 0.0269157; 2.74058; 0.108723; -0.0377655
518428.902001; 0.362958; 0.0257174; 2.74063; -0.236561; -0.026106
518429.052001; 0.360884; 0.0249448; 2.74067; 0.210027; -0.0389228
518429.202001; 0.356972; 0.0241735; 2.74072; 0.407783; -0.0354385
518429.352001; 0.353104; 0.0246299; 2.74076; 0.507048; -0.0383153
518429.502001; 0.348618; 0.0255288; 2.7408; 0.662111; -0.0424975
518429.652001; 0.344411; 0.0261472; 2.74085; 0.642593; -0.0496581
518429.802001; 0.34146; 0.0258844; 2.74089; 0.593537; -0.0489748
518429.952001; 0.339335; 0.0254698; 2.74094; 0.443814; -0.0396035
518430.102001; 0.337412; 0.0250345; 2.74098; -0.386352; -0.029797
518430.252001; 0.335313; 0.0250577; 2.74102; -0.384206; 0.0262126
518430.402001; 0.333493; 0.0252933; 2.74107; 0.195734; 0.016912
518430.552001; 0.330917; 0.0258931; 2.74111; -0.212481; 0.0277036
518430.702001; 0.327198; 0.0264474; 2.74116; 0.328626; -0.0131444
518430.852001; 0.324098; 0.0269448; 2.7412; 0.562307; -0.0376246
518431.002001; 0.321177; 0.0273197; 2.74124; 0.589367; -0.0451596
518431.152001; 0.318254; 0.0276392; 2.74129; 0.539466; -0.0465632
518431.302001; 0.314247; 0.0280376; 2.74133; 0.546873; -0.0356713
518431.452001; 0.313808; 0.0291882; 2.74138; -0.567893; 0.0219726
518431.602001; 0.311516; 0.0302859; 2.74142; 0.488078; -0.0121701
518431.752001; 0.3114; 0.0313901; 2.74146; -0.544489; 0.0333556
518431.902001; 0.31883; 0.0339371; 2.74151; -1.82306; 0.081148
518432.052001; 0.323756; 0.0357981; 2.74155; -1.15475; 0.0514099
518432.202001; 0.327366; 0.0368909; 2.7416; -0.753496; 0.0426429
518432.352001; 0.33182; 0.0376153; 2.74164; -0.798637; 0.0857534
518432.502001; 0.337673; 0.0371204; 2.74168; -0.611418; 0.0981215
518432.652001; 0.343186; 0.0360651; 2.74173; -0.599538; 0.0814447
518432.802001; 0.346897; 0.0337438; 2.74177; -0.894679; 0.0819229
518432.952001; 0.351053; 0.0315722; 2.74182; -0.978268; 0.0876065
518433.102001; 0.354407; 0.0288868; 2.74186; -1.13562; 0.0683409
