time;bias-band1;bias-band2
259289.366;-57.0202768292;-357.660755585
259290.366;-56.8334993815;-357.246220182
259291.366;-57.2800492418;-356.831687642
259292.366;-57.27250472;-356.417138822
259293.366;-57.779950252;-356.002579462
259294.366;-57.3504022888;-355.588017974
259295.366;-56.8686362657;-355.17345365
259296.366;-56.9905626607;-354.758875799
259297.366;-57.5931416389;-354.344294724
259298.366;-57.6353353688;-353.929700255
259299.366;-57.3114950671;-353.515088792
259300.366;-57.2365308155;-353.100454357
259301.366;-57.2766723453;-352.685829402
259302.366;-57.2560717639;-352.271174857
259303.366;-56.9912460606;-351.856543266
259304.366;-57.0589188203;-351.441872964
259305.366;-57.1088768287;-351.027206223
259306.366;-56.8975923364;-350.612510038
259307.366;-56.5628420468;-350.197840034
259308.366;-57.6370978458;-349.78313772
259309.366;-57.4104229168;-349.368437466
259310.366;-57.1777572643;-348.953725967
259311.366;-56.9950589694;-348.539015881
259312.366;-57.487164572;-348.124257314
259313.366;-57.6349168995;-347.709525835
259314.366;-57.2813473133;-347.294750592
259315.366;-57.4387286557;-346.879993909
259316.366;-57.0901006289;-346.465217031
259317.366;-57.0551370935;-346.050446693
259318.366;-56.959629324;-345.635661759
259319.366;-56.8053621692;-345.220839852
259320.366;-56.8944433865;-344.806023164
259321.366;-56.9913673831;-344.391213107
259322.366;-57.1146726226;-343.976377954
259323.366;-57.0851552537;-343.561524144
259324.366;-56.6595256816;-343.146700369
259325.366;-56.6074252455;-342.73184949
259326.366;-57.2421856504;-342.316968802
259327.366;-56.8255259773;-341.902099242
259328.366;-56.7759041453;-341.487205212
259329.366;-56.6452625112;-341.072312526
259330.366;-56.9242833943;-340.657405661
259331.366;-56.9945055092;-340.242491579
259332.366;-56.6430622798;-339.827581256
259333.366;-57.351156875;-339.412632428
259334.366;-57.2790201734;-338.997709865
259335.366;-56.249206948;-338.582746996
259336.366;-57.0739120907;-338.167799069
259337.366;-57.447440177;-337.752817534
259338.366;-57.7220665713;-337.337857255
259339.366;-57.5209094077;-336.922846583
259340.366;-57.3250214127;-336.507863409
259341.366;-57.1193721247;-336.092855694
259342.366;-57.179192562;-335.677846491
259343.366;-57.7763162063;-335.262835856
259344.366;-57.2367036279;-334.847781001
259345.366;-57.2303266869;-334.432731392
259346.366;-57.3224615016;-334.017717398
259347.366;-57.2313000187;-333.602621664
259348.366;-57.2189797248;-333.187573808
259349.366;-57.2051744737;-332.772485383
259350.366;-57.320953547;-332.357398502
259351.366;-57.4033748806;-331.942291444
259352.366;-57.1347518896;-331.527194316
259353.366;-57.3301578554;-331.112075638
259354.366;-57.2692488968;-330.69695046
259355.366;-57.4951584362;-330.281851065
259356.366;-57.4012124139;-329.866691672
259357.366;-57.2090324335;-329.451556664
259358.366;-57.0599466239;-329.03638502
259359.366;-57.3804770371;-328.621222666
259360.366;-57.3784065671;-328.206049673
259361.366;-57.3819044486;-327.79087172
259362.366;-57.4980302279;-327.375662075
259363.366;-57.532327483;-326.960467967
259364.366;-57.549678438;-326.545228716
259365.366;-57.0743982587;-326.130026604
259366.366;-57.2168094408;-325.714795748
259367.366;-57.3595711216;-325.299567164
259368.366;-57.4564248452;-324.88429691
259369.366;-57.6024866883;-324.469064852
259370.366;-57.4825732235;-324.05378802
259371.366;-57.6765193616;-323.638535681
259372.366;-57.5390667485;-323.22325104
259373.366;-57.3147189697;-322.807948142
259374.366;-57.5233130192;-322.392637604
259375.366;-57.4517173972;-321.977352137
259376.366;-57.1979505438;-321.562041298
259377.366;-57.4311965925;-321.146694145
259378.366;-57.4245515361;-320.731381013
259379.366;-57.2468764269;-320.316038928
259380.366;-57.3421477774;-319.900687123
259381.366;-57.1762095675;-319.485327892
259382.366;-57.2624120122;-319.069972314
259383.366;-57.4830680381;-318.654601144
259384.366;-57.267533171;-318.23920815
259385.366;-57.3080267586;-317.823806126
259386.366;-57.2266580518;-317.408412068
259387.366;-57.3007397534;-316.993008653
259388.366;-57.1804848302;-316.577585655
259389.366;-56.9298863256;-316.162166408
259390.366;-57.0163927307;-315.746747828
259391.366;-57.6643933003;-315.331279471
259392.366;-57.5655229621;-314.915820382
259393.366;-57.5700483345;-314.500385236
259394.366;-57.4390003946;-314.084910315
259395.366;-57.3758291426;-313.66941577
259396.366;-57.2210511655;-313.253938749
259397.366;-56.9976100841;-312.838464355
259398.366;-57.0440359889;-312.422949595
259399.366;-56.9270599222;-312.007450172
259400.366;-57.1175355499;-311.591894472
259401.366;-57.3018902611;-311.176400279
259402.366;-57.2287565027;-310.760852659
259403.366;-57.2078907066;-310.345327197
259404.366;-56.9723302138;-309.929768115
259405.366;-57.104992454;-309.514212954
259406.366;-57.0385841315;-309.098633538
259407.366;-56.7567088947;-308.683065206
259408.366;-56.6491848396;-308.267481565
259409.366;-56.7231349611;-307.851895658
259410.366;-56.9950253618;-307.43631188
259411.366;-56.9783435887;296.726891792
259412.366;-57.2250215964;297.088179082
259413.366;-57.1796013134;297.453388336
259414.366;-57.016499053;297.818602332
259415.366;-57.004435617;298.183839076
259416.366;-57.1131929779;-304.94252479
259417.366;-57.1425301875;-304.526873085
259418.366;-57.1089002021;-304.111215979
259419.366;-57.2949984466;-303.695533563
259420.366;-57.381966896;-303.27983738
259421.366;-57.2808579124;-302.864158141
259422.366;-57.3572816767;-302.448461654
259423.366;-57.3830092133;-302.032773365
259424.366;-57.2734252753;-301.617036491
259425.366;-56.9184739168;-301.201338065
259426.366;-56.6160927421;-300.785602914
259427.366;-56.6843432508;-300.369872479
259428.366;-56.7958751508;-299.954109322
259429.366;-56.8545604396;-299.538362444
259430.366;-56.4586397196;-299.12259187
259431.366;-56.3469525288;-298.706845569
259432.366;-57.2030282437;-298.291060114
259433.366;-57.2443713759;-297.875294729
259434.366;-56.7560744613;177.354578984
259435.366;-56.4437804791;177.770819488
259436.366;-57.1239678074;178.153084198
259437.366;-56.8774233004;178.535329167
259438.366;-56.8190934422;178.917530665
259439.366;-56.9801394226;-295.380412841
259440.366;-57.2616636865;-294.964589728
259441.366;-57.5015467286;-294.548756596
259442.366;-57.5150326951;-294.132903614
259443.366;-57.5052364285;-293.717026826
259444.366;-57.5428638483;-293.301168806
259445.366;-57.5363546952;-292.885265755
259446.366;-57.658964126;-292.469388231
259447.366;-57.5955711301;-292.053509422
259448.366;-57.3861745028;-291.637614259
259449.366;-57.4115005811;-291.221701642
259450.366;-57.2828756422;-290.805793986
259451.366;-56.6513474742;-290.389877633
259452.366;-56.8850412692;-289.973942095
259453.366;-57.20147118;-289.558008215
259454.366;-56.9905532115;-289.142066045
259455.366;-57.1567565197;-288.726105328
259456.366;-57.5653548477;-288.310147915
259457.366;-57.5274894956;-287.894163824
259458.366;-57.3437016876;-287.478220193
259459.366;-57.4232360379;-287.062242737
259460.366;-57.3146446186;-286.646249622
259461.366;-57.8333379195;-286.23025207
259462.366;-57.8955121523;-285.814251618
259463.366;-56.9231947575;-285.398232796
259464.366;-57.5728198812;-284.982217524
259465.366;-57.6645007509;-284.566183748
259466.366;-57.5379413762;-284.150162443
259467.366;-57.3833931522;-283.734101072
259468.366;-57.550051068;-283.318082413
259469.366;-57.4450096912;-282.902017215
259470.366;-57.3976346118;-282.485954757
259471.366;-57.3084317626;-282.069868292
259472.366;-57.1906188757;-281.653804767
259473.366;-57.5435090422;-281.237732883
259474.366;-57.7149554067;-280.821628572
259475.366;-57.7047805378;320.084903298
259476.366;-57.5689622305;320.444818369
259477.366;-57.3563248663;320.80949428
259478.366;-57.1580679119;321.174104975
259479.366;-57.0901706192;321.538741826
259480.366;-56.9638734036;-278.324959191
259481.366;-57.0156309413;-277.908801901
259482.366;-56.9761155237;-277.492656502
259483.366;-57.0800093807;-277.076509519
259484.366;-57.0885517024;-276.660349052
259485.366;-57.1617032474;-276.244167536
259486.366;-57.2044464388;-275.827985216
259487.366;-57.120410713;-275.411799359
259488.366;-57.0984154103;-274.995613137
259489.366;-56.9856362064;-274.579407212
259490.366;-57.1165075884;-274.163205467
259491.366;-57.1936786137;-273.746988419
259492.366;-57.0386141356;-273.330762908
259493.366;-57.1202436919;-272.914552722
259494.366;-57.2573487272;-272.498307567
259495.366;-57.1625646463;-272.082068213
259496.366;-57.3747719701;-271.665837512
259497.366;-57.319243507;-271.24956674
259498.366;-57.1690056136;-270.833308553
259499.366;-57.0397954193;-270.417043401
259500.366;-57.1028249113;-270.000789194
259501.366;-56.9993488126;-269.584490287
259502.366;-56.7453452165;329.926929123
259503.366;-56.7280338616;330.286889902
259504.366;-56.945899562;330.65128729
259505.366;-56.936081227;331.015661009
259506.366;-56.8353138961;331.380011103
259507.366;-56.7819472979;-267.086688105
259508.366;-56.7891170523;-266.670355607
259509.366;-56.8622347603;-266.254015775
259510.366;-56.8764145932;-265.837657257
259511.366;-56.7369806917;-265.421295692
259512.366;-56.7105594049;-265.004954615
259513.366;-56.8446249387;-264.588595791
259514.366;-56.9464640857;-264.172220971
259515.366;-56.8788953198;-263.755849788
259516.366;-56.913413351;-263.339469466
259517.366;-56.9427371744;-262.923097939
259518.366;-56.746642222;-262.506702985
259519.366;-56.5487840557;-262.090297373
259520.366;-56.9205806618;-261.673877142
259521.366;-57.1879256845;-261.257461655
259522.366;-57.0534367806;-260.8410442
259523.366;-57.1002940123;-260.424637217
259524.366;-57.0912911059;-260.008184216
259525.366;-56.9793034354;-259.591725287
259526.366;-56.9896093378;-259.175294499
259527.366;-56.7262814212;-258.75883817
259528.366;-57.4138263788;-258.342373399
259529.366;-57.5771543849;339.762461598
259530.366;-57.240343338;340.121885398
259531.366;-57.086004667;340.485997057
259532.366;-56.9967735447;340.850119829
259533.366;-57.0587660316;341.21422699
259534.366;-56.9041346698;-255.84346711
259535.366;-56.8706306545;-255.426970438
259536.366;-56.697358112;-255.010476499
259537.366;-56.4399175778;-254.5939569
259538.366;-56.5467398417;-254.177412867
259539.366;-56.6039941471;-253.760890814
259540.366;-56.6604454024;-253.344375236
259541.366;-56.8521113018;-252.927798413
259542.366;-56.6869109314;-252.511262603
259543.366;-56.636959172;-252.094708375
259544.366;-56.9672290092;-251.678148351
259545.366;-57.6765868549;-251.261586865
259546.366;-57.1721098719;-250.845022605
259547.366;-57.1946464524;-250.428433806
259548.366;-57.0243306276;-250.011841496
259549.366;-57.4577254196;-249.595247531
259550.366;-57.4201027532;-249.178642737
259551.366;-57.2814167861;-248.762047621
259552.366;-57.3937261486;-248.34542779
259553.366;-57.4818425751;-247.928828272
259554.366;-57.2281392915;-247.512189894
259555.366;-57.3514105665;-247.095547545
259556.366;-57.4232875292;-246.678917823
259557.366;-57.4255210364;-246.262300761
259558.366;-57.5527601067;-245.84565075
259559.366;-56.8066341709;-245.428970598
259560.366;-56.9884498149;-245.012323429
259561.366;-57.3976481958;-244.595660095
259562.366;-57.128634415;-244.178971113
259563.366;-57.2466979252;-243.762302932
259564.366;-57.2879803647;-243.345632051
259565.366;-57.039685112;-242.928936527
259566.366;-57.1692084818;-242.512243913
259567.366;-57.3076938434;-242.095552748
259568.366;-57.0757406346;-241.678831861
259569.366;-57.2993757706;-241.26212305
259570.366;-56.9372701809;229.369262592
259571.366;-56.7595976841;229.747744899
259572.366;-56.6774696528;230.129840405
259573.366;-56.9758844939;230.511967487
259574.366;-56.9224463413;230.894023525
259575.366;-56.6475024685;-238.761726773
259576.366;-56.4809666151;-238.344948749
259577.366;-56.3794153231;-237.928207139
259578.366;-56.6554949404;-237.511455258
259579.366;-56.7580607451;-237.094669668
259580.366;-56.7392399881;-236.677899515
259581.366;-56.6829984336;-236.261118103
259582.366;-56.8637613167;-235.844335326
259583.366;-56.8711966961;-235.427518066
259584.366;-56.8633525006;-235.010734761
259585.366;-56.714585064;-234.593943801
259586.366;-56.524490595;-234.177126266
259587.366;-56.1102928549;-233.760304255
259588.366;-56.8689422166;-233.343459905
259589.366;-56.6786336925;-232.926683175
259590.366;-56.4179543094;-232.509823188
259591.366;-56.3856478463;-232.092963659
259592.366;-56.5804377115;-231.67612417
259593.366;-56.8504670866;-231.259302603
259594.366;-56.7770535907;-230.842437481
259595.366;-56.6976586693;-230.425585779
259596.366;-56.4262263867;-230.008726525
259597.366;-56.9255978459;-229.591825754
259598.366;-56.7640602803;-229.174946673
259599.366;-56.6013992237;-228.75807473
259600.366;-56.5907749211;-228.341189224
259601.366;-56.5212315811;-227.924275476
259602.366;-56.5621041942;-227.507396773
259603.366;-56.7398051385;-227.090456397
259604.366;-56.9348703392;-226.673575633
259605.366;-56.4441972596;-226.256660472
259606.366;-56.2961501135;-225.839738742
259607.366;-56.0394029736;-225.422814503
259608.366;-56.1705514929;-225.005891448
259609.366;-57.02482348;-224.588931059
259610.366;-57.3005253136;-224.171994993
259611.366;-56.9746964215;-223.755055927
259612.366;-56.5795514871;-223.338107465
259613.366;-56.4477519619;-222.921161942
259614.366;-56.8565087847;-222.504190414
259615.366;-57.167630997;-222.087227274
259616.366;-56.9966826512;-221.670261127
259617.366;-57.1836249987;-221.253260118
259618.366;-57.0608864615;-220.836268664
259619.366;-57.3888575922;-220.419303203
259620.366;-57.5763799809;-220.002298229
259621.366;-57.3581530083;-219.58530094
259622.366;-57.4205464433;-219.168282828
259623.366;-57.552132706;-218.751282518
259624.366;-57.4791636941;-218.334277726
259625.366;-57.5022229199;-217.917252289
259626.366;-57.4218003226;-217.50023344
259627.366;-57.5139037826;-217.083180767
259628.366;-57.6421746578;-216.666161236
259629.366;-57.6865030435;-216.249140386
259630.366;-57.4214008888;-215.832073403
259631.366;-57.2963045413;-215.415020167
259632.366;-57.4043029397;-214.997969721
259633.366;-57.2698167873;-214.58091213
259634.366;-57.4389044515;-214.163853748
259635.366;-57.2627990475;-213.746802598
259636.366;-57.0997176081;-213.329705766
259637.366;-56.9475310841;-212.912606232
259638.366;-56.8974575957;-212.495527026
259639.366;-56.988386468;-212.078456948
259640.366;-57.1308611942;-211.661356994
259641.366;-57.1223500075;-211.244254186
259642.366;-57.2050191826;-210.82716578
259643.366;-57.4968373971;-210.410062521
259644.366;-57.5365470696;-209.99294431
