tm; prn; seq_fract; phase
63830; 25; 0.965998144122; 152971.390625
64830; 12; 0.812362735625; 199435.245117
64830; 24; 0.26351191313; 317110.53418
64830; 14; 0.435156922555; 96984.484375
64830; 25; 0.966434134403; 153601.880859
65830; 12; 0.81121141254; 202554.923828
65830; 24; 0.260968854651; 322437.44043
65830; 14; 0.434143247083; 99896.3779297
65830; 25; 0.966871977784; 154231.808594
66830; 12; 0.810074597364; 205675.131836
66830; 24; 0.258429630194; 327764.879883
66830; 14; 0.433142452268; 102809.013672
66830; 25; 0.967299518874; 154862.141602
67830; 12; 0.808919235598; 208796.344727
67830; 24; 0.255876176059; 333093.321289
67830; 14; 0.4321167171; 105722.861328
67830; 25; 0.96774273878; 155493.37207
68830; 12; 0.807775420137; 211916.750977
68830; 24; 0.253328687744; 338420.953125
68830; 14; 0.431104197865; 108636.115234
68830; 25; 0.968178572366; 156123.669922
69830; 12; 0.806630350184; 215036.798828
69830; 24; 0.250784992473; 343748.238281
69830; 14; 0.430093690287; 111549.220703
69830; 25; 0.968605182599; 156753.511719
70830; 12; 0.805487399688; 218155.857422
70830; 24; 0.248231978621; 349074.526367
70830; 14; 0.429070106475; 114461.542969
70830; 25; 0.96904450329; 157382.229492
71830; 12; 0.804329704493; 221280.12207
71830; 24; 0.245681654429; 354406.035156
71830; 14; 0.42805844266; 117379.293945
71830; 25; 0.969476547558; 158016.068359
72830; 12; 0.803185482044; 224404.460938
72830; 24; 0.243132253177; 359737.614258
72830; 14; 0.427023879485; 120297.327148
72830; 25; 0.969910466578; 158649.849609
73830; 12; 0.802044410259; 227528.154297
73830; 24; 0.240584057989; 365068.536133
73830; 14; 0.426014646189; 123214.916016
73830; 25; 0.970337322447; 159282.862305
74830; 12; 0.800890277606; 230652.791992
74830; 24; 0.238023417769; 370400.418945
74830; 14; 0.425001568627; 126133.677734
74830; 25; 0.970773106674; 159916.719727
75830; 12; 0.799740126356; 233778.108398
75830; 24; 0.235472282395; 375732.976562
75830; 14; 0.423977020895; 129053.310547
75830; 25; 0.971195834223; 160551.134766
76830; 12; 0.798588696169; 236902.338867
76830; 24; 0.232934860513; 381064.455078
76830; 14; 0.422964185709; 131972.074219
76830; 25; 0.971627696417; 161184.352539
77830; 12; 0.797442692798; 240028.986328
77830; 24; 0.230375980958; 386398.344727
77830; 14; 0.421942207497; 134893.464844
77830; 25; 0.972072910517; 161819.875
