prog start
hv ver: 3.4
F_SAMPLE = 222111
   idx;  inp_i;  inp_q;  out_i;  out_q;   ref_i; ref_q;     ok
   176;      1;     -3;      5;      5;      5;      5;      1 
   177;      1;     -3;      5;      5;      5;      5;      1 
   178;      1;     -3;      5;      5;      5;      5;      1 
   179;      1;     -3;      5;      5;      5;      5;      1 
   180;      1;     -3;      5;      5;      5;      5;      1 
   181;      1;     -3;      5;      5;      5;      5;      1 
   182;      1;     -3;      5;      5;      5;      5;      1 
   183;      1;     -3;      5;      5;      5;      5;      1 
   184;      1;     -3;      5;      5;      5;      5;      1 
   185;      1;     -3;      5;      5;      5;      5;      1 
   186;      1;     -3;      5;      5;      5;      5;      1 
   187;      1;     -3;      5;      5;      5;      5;      1 
   188;      1;     -3;      5;      5;      5;      5;      1 
   189;      1;     -3;      5;      5;      5;      5;      1 
   190;      1;     -3;      5;      5;      5;      5;      1 
   191;      1;     -3;      5;      5;      5;      5;      1 
   192;      1;     -3;      5;      5;      5;      5;      1 
   193;      1;     -3;      5;      5;      5;      5;      1 
   194;      1;     -3;      5;      5;      5;      5;      1 
   195;      1;     -3;      5;      5;      5;      5;      1 
   196;      1;     -3;      5;      5;      5;      5;      1 
   197;      1;     -3;      5;      5;      5;      5;      1 
   198;      1;     -3;      5;      5;      5;      5;      1 
   199;      1;     -3;      5;      5;      5;      5;      1 
   200;      1;     -3;      5;      5;      5;      5;      1 
   201;      1;     -3;      5;      5;      5;      5;      1 
   202;      1;     -3;      5;      5;      5;      5;      1 
   203;      1;     -3;      5;      5;      5;      5;      1 
   204;      1;     -3;      5;      5;      5;      5;      1 
   205;      1;     -3;      5;      5;      5;      5;      1 
   206;      1;     -3;      5;      5;      5;      5;      1 
   207;      1;     -3;      5;      5;      5;      5;      1 
   208;      1;     -3;      5;      5;      5;      5;      1 
   209;      1;     -3;      5;      5;      5;      5;      1 
   210;      1;     -3;      5;      5;      5;      5;      1 
   211;      1;     -3;      5;      5;      5;      5;      1 
   212;      1;     -3;      5;      5;      5;      5;      1 
   213;      1;     -3;      5;      5;      5;      5;      1 
   214;      1;     -3;      5;      5;      5;      5;      1 
   215;      1;     -3;      5;      5;      5;      5;      1 
