tm; rg; carr
479719.114175;0.390324; -352438.021
480742.114175;0.390180; -353350.326
481765.114175;0.390036; -354262.972
482788.114175;0.389891; -355176.197
483811.114175;0.389746; -356089.857
484834.114175;0.389601; -357003.902
485857.114175;0.389456; -357918.247
486880.114175;0.389310; -358832.864
487903.114175;0.389165; -359748.208
488926.114175;0.389020; -360663.497
489949.114175;0.388875; -361579.236
490972.114175;0.388730; -362495.521
491995.114175;0.388585; -363412.230
493018.114175;0.388440; -364329.624
494041.114175;0.388294; -365247.531
495064.114175;0.388148; -366165.435
496087.114175;0.388002; -367083.924
497110.114175;0.387857; -368002.454
498133.114175;0.387710; -368921.190
499156.114175;0.387565; -369840.095
500179.114175;0.387419; -370758.981
501202.114175;0.387273; -371678.165
502225.114175;0.387127; -372597.784
503248.114175;0.386981; -373517.788
504271.114175;0.386834; -374438.124
505294.114175;0.386688; -375358.756
506317.114175;0.386541; -376279.646
507340.114175;0.386395; -377201.023
508363.114175;0.386249; -378122.914
509386.114175;0.386103; -379045.086
510409.114175;0.385955; -379967.506
511432.114175;0.385810; -380890.272
512455.114175;0.385663; -381813.328
513478.114175;0.385517; -382736.620
514501.114175;0.385371; -383660.229
515524.114175;0.385225; -384583.849
516547.114175;0.385077; -385507.983
517570.114175;0.384931; -386432.492
518593.114175;0.384784; -387357.311
519616.114175;0.384636; -388282.600
520639.114175;0.384490; -389208.672
521662.114175;0.384343; -390134.814
522685.114175;0.384196; -391061.313
523708.114175;0.384049; -391988.202
524731.114175;0.383902; -392915.272
525754.114175;0.383755; -393842.836
526777.114175;0.383607; -394770.326
527800.114175;0.383460; -395697.955
528823.114175;0.383313; -396626.142
529846.114175;0.383167; -397554.736
530869.114175;0.383018; -398483.581
531892.114175;0.382872; -399412.705
532915.114175;0.382724; -400342.127
533938.114175;0.382577; -401271.882
534961.114175;0.382430; -402201.961
535984.114175;0.382282; -403132.447
537007.114175;0.382133; -404063.150
538030.114175;0.381986; -404994.398
539053.114175;0.381838; -405926.031
540076.114175;0.381690; -406857.748
541099.114175;0.381542; -407789.921
542122.114175;0.381394; -408722.508
543145.114175;0.381247; -409655.387
544168.114175;0.381099; -410588.348
545191.114175;0.380950; -411521.785
546214.114175;0.380803; -412455.883
547237.114175;0.380654; -413390.239
548260.114175;0.380506; -414324.891
549283.114175;0.380357; -415260.054
550306.114175;0.380210; -416195.625
551329.114175;0.380060; -417131.473
552352.114175;0.379913; -418067.621
553375.114175;0.379764; -419004.138
554398.114175;0.379616; -419940.964
555421.114175;0.379466; -420877.918
556444.114175;0.379318; -421815.191
557467.114175;0.379168; -422752.920
558490.114175;0.379021; -423690.812
559513.114175;0.378871; -424629.146
560536.114175;0.378722; -425567.825
561559.114175;0.378574; -426506.901
562582.114175;0.378425; -427446.144
563605.114175;0.378276; -428385.870
564628.114175;0.378128; -429325.941
565651.114175;0.377978; -430266.353
566674.114175;0.377828; -431207.223
567697.114175;0.377680; -432148.354
568720.114175;0.377530; -433089.719
569743.114175;0.377381; -434031.327
570766.114175;0.377232; -434973.277
571789.114175;0.377083; -435915.644
572812.114175;0.376932; -436858.450
573835.114175;0.376783; -437801.634
574858.114175;0.376634; -438745.170
575881.114175;0.376483; -439689.227
576904.114175;0.376333; -440633.646
577927.114175;0.376184; -441578.345
578950.114175;0.376034; -442523.303
579973.114175;0.375884; -443468.651
580996.114175;0.375734; -444414.475
582019.114175;0.375584; -445360.548
583042.114175;0.375433; -446306.865
584065.114175;0.375283; -447253.561
585088.114175;0.375132; -448200.649
586111.114175;0.374982; -449147.974
587134.114175;0.374832; -450095.591
588157.114175;0.374681; -451043.532
589180.114175;0.374531; -451991.680
590203.114175;0.374380; -452940.083
591226.114175;0.374229; -453888.886
592249.114175;0.374079; -454837.959
593272.114175;0.373928; -455787.316
594295.114175;0.373778; -456737.037
595318.114175;0.373627; -457687.075
596341.114175;0.373476; -458637.392
597364.114175;0.373326; -459587.931
598387.114175;0.373174; -460538.829
599410.114175;0.373023; -461490.145
600433.114175;0.372872; -462441.808
601456.114175;0.372722; -463393.846
602479.114175;0.372570; -464346.362
603502.114175;0.372418; -465299.104
604525.114175;0.372267; -466252.198
605548.114175;0.372115; -467205.599
606571.114175;0.371965; -468159.228
607594.114175;0.371811; -469113.239
608617.114175;0.371661; -470067.570
609640.114175;0.371509; -471022.205
610663.114175;0.371357; -471977.273
611686.114175;0.371205; -472932.736
612709.114175;0.371053; -473888.395
613732.114175;0.370901; -474844.383
614755.114175;0.370750; -475800.784
615778.114175;0.370598; -476757.595
616801.114175;0.370445; -477714.690
617824.114175;0.370294; -478672.024
618847.114175;0.370143; -479629.732
619870.114175;0.369991; -480587.849
620893.114175;0.369838; -481546.229
621916.114175;0.369686; -482504.860
622939.114175;0.369534; -483463.825
623962.114175;0.369382; -484423.062
624985.114175;0.369229; -485382.783
626008.114175;0.369077; -486342.900
627031.114175;0.368924; -487303.242
628054.114175;0.368772; -488263.932
629077.114175;0.368618; -489224.841
630100.114175;0.368466; -490186.277
631123.114175;0.368314; -491148.160
632146.114175;0.368161; -492110.114
633169.114175;0.368008; -493072.411
634192.114175;0.367855; -494034.963
635215.114175;0.367702; -494997.983
636238.114175;0.367549; -495961.345
637261.114175;0.367396; -496925.002
638284.114175;0.367243; -497888.933
639307.114175;0.367090; -498853.146
640330.114175;0.366938; -499817.793
641353.114175;0.366784; -500782.574
642376.114175;0.366631; -501747.693
643399.114175;0.366478; -502713.099
644422.114175;0.366324; -503678.771
645445.114175;0.366171; -504644.831
646468.114175;0.366018; -505611.201
647491.114175;0.365865; -506577.932
648514.114175;0.365711; -507545.005
649537.114175;0.365559; -508512.412
650560.114175;0.365405; -509480.020
651583.114175;0.365252; -510448.037
652606.114175;0.365099; -511416.355
653629.114175;0.364944; -512385.000
654652.114175;0.364791; -513353.974
655675.114175;0.364637; -514323.240
656698.114175;0.364483; -515292.880
657721.114175;0.364328; -516262.945
658744.114175;0.364175; -517233.358
659767.114175;0.364021; -518204.053
660790.114175;0.363867; -519175.075
661813.114175;0.363713; -520146.448
662836.114175;0.363559; -521118.146
663859.114175;0.363404; -522090.085
664882.114175;0.363250; -523062.446
665905.114175;0.363096; -524035.134
666928.114175;0.362942; -525008.090
667951.114175;0.362788; -525981.458
668974.114175;0.362634; -526955.226
669997.114175;0.362479; -527929.243
671020.114175;0.362325; -528903.583
672043.114175;0.362170; -529878.409
673066.114175;0.362015; -530853.519
674089.114175;0.361860; -531828.991
675112.114175;0.361706; -532804.818
676135.114175;0.361551; -533781.157
677158.114175;0.361396; -534757.849
678181.114175;0.361241; -535734.938
679204.114175;0.361086; -536712.148
680227.114175;0.360930; -537689.672
681250.114175;0.360775; -538667.407
682273.114175;0.360619; -539645.413
683296.114175;0.360464; -540623.767
684319.114175;0.360308; -541602.468
685342.114175;0.360153; -542581.552
686365.114175;0.359997; -543560.975
687388.114175;0.359842; -544540.786
688411.114175;0.359686; -545521.094
689434.114175;0.359530; -546501.641
690457.114175;0.359375; -547482.444
691480.114175;0.359220; -548463.728
692503.114175;0.359065; -549445.400
693526.114175;0.358907; -550427.566
694549.114175;0.358753; -551410.063
695572.114175;0.358596; -552392.962
696595.114175;0.358439; -553376.083
697618.114175;0.358283; -554359.578
698641.114175;0.358127; -555343.484
699664.114175;0.357970; -556327.803
700687.114175;0.357814; -557312.463
701710.114175;0.357657; -558297.504
702733.114175;0.357501; -559282.856
703756.114175;0.357344; -560268.414
704779.114175;0.357188; -561254.233
705802.114175;0.357031; -562240.507
706825.114175;0.356874; -563227.022
707848.114175;0.356718; -564213.792
708871.114175;0.356562; -565200.740
709894.114175;0.356405; -566188.085
710917.114175;0.356248; -567175.611
711940.114175;0.356092; -568163.498
712963.114175;0.355935; -569151.735
713986.114175;0.355778; -570140.285
715009.114175;0.355620; -571129.020
716032.114175;0.355463; -572118.133
717055.114175;0.355306; -573107.537
718078.114175;0.355149; -574097.242
719101.114175;0.354992; -575087.128
720124.114175;0.354834; -576077.573
721147.114175;0.354678; -577068.417
722170.114175;0.354520; -578059.654
723193.114175;0.354364; -579050.976
724216.114175;0.354205; -580042.777
725239.114175;0.354048; -581034.921
726262.114175;0.353891; -582027.301
727285.114175;0.353733; -583019.913
728308.114175;0.353575; -584012.921
729331.114175;0.353419; -585006.270
730354.114175;0.353260; -586000.021
731377.114175;0.353103; -586994.184
732400.114175;0.352945; -587988.686
733423.114175;0.352788; -588983.508
734446.114175;0.352631; -589978.695
735469.114175;0.352472; -590974.138
736492.114175;0.352315; -591969.845
737515.114175;0.352156; -592965.948
738538.114175;0.351998; -593962.243
739561.114175;0.351841; -594959.051
740584.114175;0.351682; -595956.290
741607.114175;0.351524; -596953.991
742630.114175;0.351365; -597951.960
743653.114175;0.351206; -598950.239
744676.114175;0.351049; -599948.731
745699.114175;0.350889; -600947.578
746722.114175;0.350731; -601946.803
747745.114175;0.350572; -602946.237
748768.114175;0.350414; -603945.849
749791.114175;0.350255; -604945.747
750814.114175;0.350096; -605946.160
751837.114175;0.349938; -606946.613
752860.114175;0.349779; -607947.284
753883.114175;0.349620; -608948.236
754906.114175;0.349460; -609949.561
755929.114175;0.349303; -610951.181
756952.114175;0.349144; -611953.110
757975.114175;0.348985; -612955.474
758998.114175;0.348826; -613958.008
760021.114175;0.348667; -614960.907
761044.114175;0.348508; -615964.288
762067.114175;0.348348; -616967.907
763090.114175;0.348189; -617971.695
764113.114175;0.348029; -618975.864
765136.114175;0.347869; -619980.220
766159.114175;0.347710; -620984.888
767182.114175;0.347550; -621989.813
768205.114175;0.347391; -622995.093
769228.114175;0.347230; -624000.647
770251.114175;0.347072; -625006.685
771274.114175;0.346911; -626013.166
772297.114175;0.346752; -627020.012
773320.114175;0.346593; -628027.013
774343.114175;0.346433; -629034.295
