tow; prn16; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); resp; resc 
151230.679; 4; -75108.1386719; -986598.380859375; 784.2314453125; 778.197; 6.03459; 0; 0; -0; -0; 0; 861.658; 643.446; -77.4261; -83.4607; 1.61132; 0.568887
151231.679; 4; -75259.5107422; -987382.2919921875; 783.9111328125; 795.466; -11.5545; 0; 0; -0; -0; 0; 861.134; 643.055; -77.2232; -65.6687; -0.659708; 0.495008
151232.679; 4; -75407.890625; -988165.388671875; 783.0966796875; 779.742; 3.35513; 0; 0; -0; -0; 0; 860.611; 642.664; -77.5143; -80.8694; 0.150322; 0.66551
151233.679; 4; -75557.4580078; -988947.9697265625; 782.5810546875; 785.982; -3.40085; 0; 0; -0; -0; 0; 860.088; 642.273; -77.5066; -74.1058; -0.671722; 0.48963
151234.679; 4; -75707.0654297; -989730.3681640625; 782.3984375; 786.192; -3.79387; 0; 0; -0; -0; 0; 859.564; 641.882; -77.166; -73.3721; -1.69178; 0.190753
151235.679; 4; -75855.2207031; -990512.2548828125; 781.88671875; 778.561; 3.3255; 0; 0; -0; -0; 0; 859.041; 641.492; -77.1544; -80.4799; -0.808819; 0.439749
151236.679; 4; -76004.3671875; -991293.5859375; 781.3310546875; 783.77; -2.43901; 0; 0; -0; -0; 0; 858.518; 641.101; -77.1867; -74.7477; -1.26034; 0.450882
151237.679; 4; -76152.3847656; -992074.3232421875; 780.7373046875; 777.838; 2.89968; 0; 0; -0; -0; 0; 857.994; 640.71; -77.2572; -80.1569; -0.837128; 0.321593
151238.679; 4; -76300.5390625; -992853.9150390625; 779.591796875; 778.556; 1.03571; 0; 0; -0; -0; 0; 857.471; 640.319; -77.8793; -78.915; -0.831627; 0.129005
151239.679; 4; -76447.1748047; -993632.767578125; 778.8525390625; 770.576; 8.27651; 0; 0; -0; -0; 0; 856.948; 639.929; -78.0953; -86.3718; 0.421216; -0.19245
151240.679; 4; -76595.0449219; -994411.54296875; 778.775390625; 777.063; 1.71268; 0; 0; -0; -0; 0; 856.425; 639.538; -77.6491; -79.3618; 1.10924; 0.170224
151241.679; 4; -76742.4052734; -995190.390625; 778.84765625; 774.384; 4.46378; 0; 0; -0; -0; 0; 855.901; 639.147; -77.0535; -81.5173; 1.17047; -0.616841
151242.679; 4; -76892.2900391; -995968.6181640625; 778.2275390625; 787.65; -9.42222; 0; 0; -0; -0; 0; 855.378; 638.756; -77.1503; -67.7281; 0.0280794; 0.0331744
