----------------
prog start
hv ver: 3.13
code_test 
	 code_len = 120, chip_div = 1, spacing_len = 1, pcode[0] = 0x0030305F 
	 code_ctrl = 0x00000077
  |    45   |   1   |   1  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    45   |   1   |   1  0  0  0  0   |   3 -3 -3 -3 -3   |   1   ||   1  0  0  0  0   |   3 -3 -3 -3 -3   |   1   |  OK
  |    46   |   0   |   1  1  0  0  0   |   3 -3 -3 -3 -3   |   1   ||   1  0  0  0  0   |   3 -3 -3 -3 -3   |   1   |  OK
  |    46   |   0   |   1  1  0  0  0   |   3  3 -3 -3 -3   |   1   ||   1  1  0  0  0   |   3  3 -3 -3 -3   |   1   |  OK
  |    47   |   0   |   0  1  1  0  0   |   3  3 -3 -3 -3   |   1   ||   1  1  0  0  0   |   3  3 -3 -3 -3   |   1   |  OK
  |    47   |   0   |   0  1  1  0  0   |  -3  3  3 -3 -3   |   0   ||   0  1  1  0  0   |  -3  3  3 -3 -3   |   0   |  OK
  |    48   |   0   |   0  0  1  1  0   |  -3  3  3 -3 -3   |   0   ||   0  1  1  0  0   |  -3  3  3 -3 -3   |   0   |  OK
  |    48   |   0   |   0  0  1  1  0   |  -3 -3  3  3 -3   |   0   ||   0  0  1  1  0   |  -3 -3  3  3 -3   |   0   |  OK
  |    49   |   0   |   0  0  0  1  1   |  -3 -3  3  3 -3   |   0   ||   0  0  1  1  0   |  -3 -3  3  3 -3   |   0   |  OK
  |    49   |   0   |   0  0  0  1  1   |  -3 -3 -3  3  3   |   0   ||   0  0  0  1  1   |  -3 -3 -3  3  3   |   0   |  OK
  |    50   |   0   |   0  0  0  0  1   |  -3 -3 -3  3  3   |   0   ||   0  0  0  1  1   |  -3 -3 -3  3  3   |   0   |  OK
  |    50   |   0   |   0  0  0  0  1   |  -3 -3 -3 -3  3   |   0   ||   0  0  0  0  1   |  -3 -3 -3 -3  3   |   0   |  OK
  |    51   |   0   |   0  0  0  0  0   |  -3 -3 -3 -3  3   |   0   ||   0  0  0  0  1   |  -3 -3 -3 -3  3   |   0   |  OK
  |    51   |   0   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    52   |   1   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    52   |   1   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    53   |   1   |   1  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    53   |   1   |   1  0  0  0  0   |   3 -3 -3 -3 -3   |   1   ||   1  0  0  0  0   |   3 -3 -3 -3 -3   |   1   |  OK
  |    54   |   0   |   1  1  0  0  0   |   3 -3 -3 -3 -3   |   1   ||   1  0  0  0  0   |   3 -3 -3 -3 -3   |   1   |  OK
  |    54   |   0   |   1  1  0  0  0   |   3  3 -3 -3 -3   |   1   ||   1  1  0  0  0   |   3  3 -3 -3 -3   |   1   |  OK
  |    55   |   0   |   0  1  1  0  0   |   3  3 -3 -3 -3   |   1   ||   1  1  0  0  0   |   3  3 -3 -3 -3   |   1   |  OK
  |    55   |   0   |   0  1  1  0  0   |  -3  3  3 -3 -3   |   0   ||   0  1  1  0  0   |  -3  3  3 -3 -3   |   0   |  OK
  |    56   |   0   |   0  0  1  1  0   |  -3  3  3 -3 -3   |   0   ||   0  1  1  0  0   |  -3  3  3 -3 -3   |   0   |  OK
  |    56   |   0   |   0  0  1  1  0   |  -3 -3  3  3 -3   |   0   ||   0  0  1  1  0   |  -3 -3  3  3 -3   |   0   |  OK
  |    57   |   0   |   0  0  0  1  1   |  -3 -3  3  3 -3   |   0   ||   0  0  1  1  0   |  -3 -3  3  3 -3   |   0   |  OK
  |    57   |   0   |   0  0  0  1  1   |  -3 -3 -3  3  3   |   0   ||   0  0  0  1  1   |  -3 -3 -3  3  3   |   0   |  OK
  |    58   |   0   |   0  0  0  0  1   |  -3 -3 -3  3  3   |   0   ||   0  0  0  1  1   |  -3 -3 -3  3  3   |   0   |  OK
  |    58   |   0   |   0  0  0  0  1   |  -3 -3 -3 -3  3   |   0   ||   0  0  0  0  1   |  -3 -3 -3 -3  3   |   0   |  OK
  |    59   |   0   |   0  0  0  0  0   |  -3 -3 -3 -3  3   |   0   ||   0  0  0  0  1   |  -3 -3 -3 -3  3   |   0   |  OK
  |    59   |   0   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    60   |   0   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    60   |   0   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    61   |   0   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    61   |   0   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    62   |   0   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    62   |   0   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    63   |   0   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    63   |   0   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    64   |   1   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    64   |   1   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    65   |   1   |   1  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    65   |   1   |   1  0  0  0  0   |   3 -3 -3 -3 -3   |   1   ||   1  0  0  0  0   |   3 -3 -3 -3 -3   |   1   |  OK
  |    66   |   1   |   1  1  0  0  0   |   3 -3 -3 -3 -3   |   1   ||   1  0  0  0  0   |   3 -3 -3 -3 -3   |   1   |  OK
  |    66   |   1   |   1  1  0  0  0   |   3  3 -3 -3 -3   |   1   ||   1  1  0  0  0   |   3  3 -3 -3 -3   |   1   |  OK
  |    67   |   1   |   1  1  1  0  0   |   3  3 -3 -3 -3   |   1   ||   1  1  0  0  0   |   3  3 -3 -3 -3   |   1   |  OK
  |    67   |   1   |   1  1  1  0  0   |   3  3  3 -3 -3   |   1   ||   1  1  1  0  0   |   3  3  3 -3 -3   |   1   |  OK
  |    68   |   1   |   1  1  1  1  0   |   3  3  3 -3 -3   |   1   ||   1  1  1  0  0   |   3  3  3 -3 -3   |   1   |  OK
  |    68   |   1   |   1  1  1  1  0   |   3  3  3  3 -3   |   1   ||   1  1  1  1  0   |   3  3  3  3 -3   |   1   |  OK
  |    69   |   0   |   1  1  1  1  1   |   3  3  3  3 -3   |   1   ||   1  1  1  1  0   |   3  3  3  3 -3   |   1   |  OK
  |    69   |   0   |   1  1  1  1  1   |   3  3  3  3  3   |   1   ||   1  1  1  1  1   |   3  3  3  3  3   |   1   |  OK
  |    70   |   1   |   0  1  1  1  1   |   3  3  3  3  3   |   1   ||   1  1  1  1  1   |   3  3  3  3  3   |   1   |  OK
  |    70   |   1   |   0  1  1  1  1   |  -3  3  3  3  3   |   0   ||   0  1  1  1  1   |  -3  3  3  3  3   |   0   |  OK
  |    71   |   0   |   1  0  1  1  1   |  -3  3  3  3  3   |   0   ||   0  1  1  1  1   |  -3  3  3  3  3   |   0   |  OK
  |    71   |   0   |   1  0  1  1  1   |   3 -3  3  3  3   |   1   ||   1  0  1  1  1   |   3 -3  3  3  3   |   1   |  OK
  |    72   |   0   |   0  1  0  1  1   |   3 -3  3  3  3   |   1   ||   1  0  1  1  1   |   3 -3  3  3  3   |   1   |  OK
  |    72   |   0   |   0  1  0  1  1   |  -3  3 -3  3  3   |   0   ||   0  1  0  1  1   |  -3  3 -3  3  3   |   0   |  OK
  |    73   |   0   |   0  0  1  0  1   |  -3  3 -3  3  3   |   0   ||   0  1  0  1  1   |  -3  3 -3  3  3   |   0   |  OK
  |    73   |   0   |   0  0  1  0  1   |  -3 -3  3 -3  3   |   0   ||   0  0  1  0  1   |  -3 -3  3 -3  3   |   0   |  OK
  |    74   |   0   |   0  0  0  1  0   |  -3 -3  3 -3  3   |   0   ||   0  0  1  0  1   |  -3 -3  3 -3  3   |   0   |  OK
  |    74   |   0   |   0  0  0  1  0   |  -3 -3 -3  3 -3   |   0   ||   0  0  0  1  0   |  -3 -3 -3  3 -3   |   0   |  OK
  |    75   |   0   |   0  0  0  0  1   |  -3 -3 -3  3 -3   |   0   ||   0  0  0  1  0   |  -3 -3 -3  3 -3   |   0   |  OK
