----------------
prog start
hv ver: 3.13
code_test 
	 code_len = 120, chip_div = 1, spacing_len = 1, pcode[0] = 0x0030305F 
	 code_ctrl = 0x00000077
-3 -3 -3 -3 -3   |   0   |  -3 -3 -3 -3 -3   |   0   |    61   |   0  0  0  0  0   |   0   |  OK
-3 -3 -3 -3 -3   |   0   |  -3 -3 -3 -3 -3   |   0   |    61   |   0  0  0  0  0   |   0   |  OK
-3 -3 -3 -3 -3   |   0   |  -3 -3 -3 -3 -3   |   0   |    62   |   0  0  0  0  0   |   0   |  OK
-3 -3 -3 -3 -3   |   0   |  -3 -3 -3 -3 -3   |   0   |    62   |   0  0  0  0  0   |   0   |  OK
-3 -3 -3 -3 -3   |   0   |  -3 -3 -3 -3 -3   |   0   |    63   |   0  0  0  0  0   |   0   |  OK
-3 -3 -3 -3 -3   |   0   |  -3 -3 -3 -3 -3   |   0   |    63   |   0  0  0  0  0   |   0   |  OK
-3 -3 -3 -3 -3   |   0   |  -3 -3 -3 -3 -3   |   1   |    64   |   0  0  0  0  0   |   0   |  OK
-3 -3 -3 -3 -3   |   0   |  -3 -3 -3 -3 -3   |   1   |    64   |   0  0  0  0  0   |   0   |  OK
-3 -3 -3 -3 -3   |   0   |  -3 -3 -3 -3 -3   |   1   |    65   |   1  0  0  0  0   |   0   |  OK
 3 -3 -3 -3 -3   |   1   |   3 -3 -3 -3 -3   |   1   |    65   |   1  0  0  0  0   |   1   |  OK
 3 -3 -3 -3 -3   |   1   |   3 -3 -3 -3 -3   |   1   |    66   |   1  1  0  0  0   |   1   |  OK
 3  3 -3 -3 -3   |   1   |   3  3 -3 -3 -3   |   1   |    66   |   1  1  0  0  0   |   1   |  OK
 3  3 -3 -3 -3   |   1   |   3  3 -3 -3 -3   |   1   |    67   |   1  1  1  0  0   |   1   |  OK
 3  3  3 -3 -3   |   1   |   3  3  3 -3 -3   |   1   |    67   |   1  1  1  0  0   |   1   |  OK
 3  3  3 -3 -3   |   1   |   3  3  3 -3 -3   |   1   |    68   |   1  1  1  1  0   |   1   |  OK
 3  3  3  3 -3   |   1   |   3  3  3  3 -3   |   1   |    68   |   1  1  1  1  0   |   1   |  OK
 3  3  3  3 -3   |   1   |   3  3  3  3 -3   |   0   |    69   |   1  1  1  1  1   |   1   |  OK
 3  3  3  3  3   |   1   |   3  3  3  3  3   |   0   |    69   |   1  1  1  1  1   |   1   |  OK
 3  3  3  3  3   |   1   |   3  3  3  3  3   |   1   |    70   |   0  1  1  1  1   |   1   |  OK
