----------------
prog start
hv ver: 3.13
accu test 
	 code_len = 1023, chip_div = 2, spacing_len = 1, pcode[0] = 0x23C495A7 
	 code_ctrl = 0x040003FE
  |    24   |   1   |   1  1  0  0  0   |   -117  -109   -27   -19    13    21    23    31    43    51   |   0   ||    10  |   1  1  0  0  1   |    -10   -10   -30    50   160   |   0   |  ERR
  |    25   |   1   |   1  1  1  0  0   |   -112  -104   -22   -14     8    16    18    26    38    46   |   0   ||    11  |   0  1  1  0  0   |    -15   -15   -25    55   155   |   0   |  ERR
  |    25   |   1   |   1  1  1  0  0   |   -107   -99   -17    -9    13    21    13    21    33    41   |   0   ||    11  |   0  1  1  0  0   |    -20   -10   -20    50   150   |   0   |  ERR
  |    26   |   0   |   1  1  1  1  0   |   -102   -94   -12    -4    18    26     8    16    28    36   |   0   ||    11  |   0  1  1  0  0   |    -25    -5   -15    45   145   |   0   |  ERR
  |    26   |   0   |   1  1  1  1  0   |    -97   -89    -7     1    23    31    13    21    23    31   |   0   ||    11  |   0  0  1  1  0   |    -30     0   -10    40   140   |   0   |  ERR
  |    26   |   0   |   1  1  1  1  0   |    -92   -84    -2     6    28    36    18    26    18    26   |   0   ||    11  |   0  0  1  1  0   |    -35    -5    -5    45   135   |   0   |  ERR
  |    27   |   0   |   0  1  1  1  1   |    -87   -79     3    11    33    41    23    31    13    21   |   0   ||    12  |   1  0  0  1  1   |    -40   -10     0    50   130   |   0   |  ERR
  |    27   |   0   |   0  1  1  1  1   |    -92   -84     8    16    38    46    28    36    18    26   |   0   ||    12  |   1  0  0  1  1   |    -35   -15    -5    55   135   |   0   |  ERR
  |    28   |   0   |   0  0  1  1  1   |    -97   -89    13    21    43    51    33    41    23    31   |   0   ||    12  |   1  1  0  0  1   |    -30   -20   -10    60   140   |   0   |  ERR
  |    28   |   0   |   0  0  1  1  1   |   -102   -94     8    16    48    56    38    46    28    36   |   0   ||    12  |   1  1  0  0  1   |    -25   -15   -15    55   145   |   0   |  ERR
  |    29   |   1   |   0  0  0  1  1   |    -97   -89    13    21    43    51    33    41    23    31   |   0   ||    13  |   0  1  1  0  0   |    -20   -10   -20    50   150   |   0   |  ERR
  |    29   |   1   |   0  0  0  1  1   |    -92   -84    18    26    48    56    28    36    18    26   |   0   ||    13  |   0  1  1  0  0   |    -15   -15   -25    55   155   |   0   |  ERR
  |    30   |   0   |   1  0  0  0  1   |    -87   -79    23    31    53    61    23    31    13    21   |   0   ||    13  |   0  0  1  1  0   |    -10   -20   -30    60   160   |   0   |  ERR
  |    30   |   0   |   1  0  0  0  1   |    -92   -84    28    36    58    66    28    36     8    16   |   0   ||    13  |   0  0  1  1  0   |     -5   -15   -35    55   165   |   0   |  ERR
  |    31   |   0   |   0  1  0  0  0   |    -87   -79    23    31    53    61    23    31    13    21   |   0   ||    14  |   0  0  0  1  1   |      0   -10   -40    50   170   |   0   |  ERR
  |    31   |   0   |   0  1  0  0  0   |    -92   -84    28    36    48    56    18    26     8    16   |   0   ||    14  |   0  0  0  1  1   |     -5   -15   -45    55   175   |   0   |  ERR
  |    32   |   0   |   0  0  1  0  0   |    -97   -89    33    41    43    51    13    21     3    11   |   0   ||    14  |   0  0  0  0  1   |    -10   -20   -50    60   180   |   0   |  ERR
  |    32   |   0   |   0  0  1  0  0   |   -102   -94    28    36    48    56     8    16    -2     6   |   0   ||    14  |   0  0  0  0  1   |    -15   -25   -55    55   185   |   0   |  ERR
