time;bias-band1;bias-band2
244458.64;-117.451570218;-368.09638672
244459.64;-117.725784413;-367.899923696
244460.64;-117.848422269;-367.70345016
244461.64;-117.984905338;-367.506960251
244462.64;-117.879382244;-367.310459564
244463.64;-117.493244323;-367.113995319
244464.64;-117.390474646;-366.917508883
244465.64;-117.30507993;-366.721016607
244466.64;-117.564609713;-366.524526704
244467.64;-117.41904538;-366.32802436
244468.64;-117.334238588;-366.131533566
244469.64;-117.766809839;-365.93503984
244470.64;-117.723558132;-365.738514381
244471.64;-117.63131784;-365.542014903
244472.64;-117.454504425;-365.345513206
244473.64;-117.395830011;-365.148992933
244474.64;-117.414317729;-364.952483001
244475.64;-117.434918392;-364.755946564
244476.64;-117.706513357;-364.559423686
244477.64;-117.669334043;-364.362911448
244478.64;-117.458114429;-364.166386414
244479.64;-117.485738769;-363.96984432
244480.64;-117.495599421;-363.773309502
244481.64;-117.463670873;-363.576780347
244482.64;-117.491286897;-363.380232046
244483.64;-117.408188591;-363.183704427
244484.64;-116.98245178;-362.987131275
244485.64;-117.438417673;-362.790605591
244486.64;-117.623047731;-362.594044602
244487.64;-117.575257495;-362.397484572
244488.64;-117.920837676;-362.200933207
244489.64;-117.921260727;-362.004351607
244490.64;-117.877975338;-361.807801028
244491.64;-117.91238162;-361.611218621
244492.64;-117.709740111;-361.414681897
244493.64;-117.934752257;-361.218085462
244494.64;-118.00943021;-361.021530967
244495.64;-117.952049295;-360.824955658
244496.64;-118.010477972;-360.628372509
244497.64;-118.008168132;-360.431792056
244498.64;-118.137470758;-360.235190689
244499.64;-118.009935639;-360.038587652
244500.64;-117.796997811;-359.841946384
244501.64;-117.922985674;-359.645349135
244502.64;-117.994681303;-359.448755346
244503.64;-118.146646591;-359.25215881
244504.64;-117.982189185;-359.055549599
244505.64;-117.796826763;-358.858935462
244506.64;-117.774386705;-358.662345216
244507.64;-117.595067887;-358.465722808
244508.64;-117.472013021;-358.269110887
244509.64;-118.032129989;-358.072476438
244510.64;-117.945784995;-357.875857951
244511.64;-117.977616894;-357.679249147
244512.64;-117.917792845;-357.482599659
244513.64;-117.816791156;-357.285974956
244514.64;-117.519514843;-357.089360828
244515.64;-117.742480163;-356.892694372
244516.64;-117.539520652;-356.696066047
244517.64;-117.652569351;-356.499432596
244518.64;-117.244298128;-356.302775419
244519.64;-117.385268687;-356.106136144
244520.64;-117.47662654;-355.909494312
244521.64;-117.668761819;-355.712849742
244522.64;-117.383330523;-355.516184057
244523.64;-117.412751751;-355.3195253
244524.64;-117.635898586;-355.122848559
244525.64;-117.083262529;-354.926169655
244526.64;-117.442777343;-354.729522844
244527.64;-117.428224742;-354.532842744
244528.64;-117.753316628;-354.336160104
244529.64;-117.788188927;-354.139488152
244530.64;-117.473228637;-353.942794938
244531.64;-117.215908627;-353.746119034
244532.64;-117.300980785;-353.549450536
244533.64;-117.677416194;-353.352750296
244534.64;-116.457623223;-353.156093398
244535.64;-117.253973247;-352.959388241
244536.64;-117.242111157;-352.762675393
244537.64;-117.824811433;-352.565986493
244538.64;-117.784047622;-352.369277008
244539.64;-117.06808625;-352.172564972
244540.64;-116.748826063;-351.975869482
244541.64;-117.506506827;-351.779166232
244542.64;-117.23857398;-351.582441088
244543.64;-117.359729308;-351.385735565
244544.64;-117.862120025;-351.189019579
244545.64;-117.41919295;-350.992298509
244546.64;-117.334656474;-350.795572036
244547.64;-117.299133432;-350.598838128
244548.64;-117.071444639;-350.402120216
244549.64;-117.434711338;-350.205358171
244550.64;-117.878487314;-350.008626435
244551.64;-117.854504191;-349.811904876
244552.64;-117.626590244;-349.615164699
244553.64;-117.470331754;-349.418406491
244554.64;-117.40160078;-349.221668974
244555.64;-117.288708555;-349.024915997
244556.64;-117.320534214;-348.828156697
244557.64;-117.187551395;-348.631423553
244558.64;-117.483033697;-348.434653208
244559.64;-117.502354069;-348.237889952
244560.64;-117.319940926;-348.041144605
244561.64;-117.559340202;-347.844353038
244562.64;-117.099173718;-347.647593149
244563.64;-117.596428134;-347.450833748
244564.64;-117.316900319;-347.254055151
244565.64;-117.349466355;-347.057265341
244566.64;-117.441997035;-346.860478381
244567.64;-117.296859326;-346.663711213
244568.64;-117.426492107;-346.466918856
244569.64;-117.342650543;-346.270127902
244570.64;-117.271324709;-346.07334868
244571.64;-117.09293944;-345.876548332
244572.64;-117.100314255;-345.679761525
244573.64;-117.234801828;-345.482948262
244574.64;-117.324582892;-345.286149896
244575.64;-117.516515925;-345.089354327
244576.64;-117.277164204;-344.892532239
244577.64;-117.160870819;-344.69571886
244578.64;-116.961578918;-344.498912362
244579.64;-117.254502783;-344.302127536
244580.64;-117.160232524;-344.105278958
244581.64;-117.130475544;-343.908475387
244582.64;-117.327035058;-343.711634249
244583.64;-117.048983148;-343.514790971
244584.64;-116.898701105;-343.317974362
244585.64;-117.217524249;-343.121131891
244586.64;-116.747100558;-342.924296602
244587.64;-117.011065149;-342.727472179
244588.64;-117.224609743;-342.530625732
244589.64;-117.301024244;-342.333763658
244590.64;-117.252085092;-342.136929037
244591.64;-117.518182847;-341.940093208
244592.64;-117.554361364;-341.743229857
244593.64;-116.757553758;-341.54638169
244594.64;-117.036857022;-341.349489315
244595.64;-116.796704305;-341.152652502
244596.64;-117.629180306;-340.955796423
244597.64;-117.99622525;-340.758938803
244598.64;-117.713256025;-340.562069749
244599.64;-117.279516367;-340.365208594
244600.64;-117.330910282;-340.168331128
244601.64;-117.163543496;-339.97144536
244602.64;-117.144447621;-339.774581284
244603.64;-117.550512651;-339.57769198
244604.64;-117.65677033;-339.380800355
244605.64;-117.471237003;-339.18391275
244606.64;-117.331802103;-338.98702866
244607.64;-117.466771546;-338.790137694
244608.64;-117.427697342;-338.593231398
